,Record Year,Job Industry,Job Title,Experience Level,Education Level,Gender,Annual Salary,Monetary Compensation,Total Annual Salary,Age Group,Occupation Country,Occupation City,Race
2842,2021,Insurance,Claims Examiner III,Veteran Level,College degree,Female,USD 38000,USD 1000,USD 39000,Junior,Australia,"Omaha, NE",White
2843,2021,Business or Consulting,Biological technician,Legendary Level,College degree,Female,USD 40000,USD 2000,USD 42000,Mid Life,United States,Denver,White
2844,2021,Computing or Tech,Leader of business intelligence,Veteran Level,Master's degree,Male,USD 160500,USD 24075,USD 184575,Junior,United States,Ann Arbor,White
2845,2021,Law,Legal Assistant,Senior Level,College degree,Female,USD 35500,USD 600,USD 36100,Junior,United States,Springfield,White
2846,2021,Manufacturing (pharmaceuticals) ,Senior Quality Control Chemist,Legendary Level,PhD,Female,USD 114240,USD 20000,USD 134240,Mid Life,Australia,Newark,White
2847,2021,Research,Health researcher,Senior Level,Master's degree,Female,USD 94000,USD 0,USD 94000,Junior,Australia,Anchorage,White
2848,2021,"Leisure, Sport & Tourism",Travel Director/scuba instructor ,Veteran Level,College degree,Female,USD 45000,USD 0,USD 45000,Experienced,United States,Boston(ish) ,White
2849,2021,Nonprofits,Development Director,Senior Level,College degree,Male,USD 70000,USD 1000,USD 71000,Junior,United States,Milwaukee,White
2851,2021,Utilities & Telecommunications,Process improvement analysis ,Junior Level,Master's degree,Female,CAD 65000,CAD 6000,CAD 71000,Mid Life,Canada,Vancouver,Asian or Asian American
2853,2021,Consumer Research,Senior Researcher,Experienced Level,PhD,Female,USD 97000,USD 9700,USD 106700,Mid Life,United States,Cincinnati,White
2854,2021,Engineering or Manufacturing,Control systems engineer ,Senior Level,College degree,Other,USD 111000,USD 40000,USD 151000,Junior,United States,Salt Lake City,White
2855,2021,"Accounting, Banking & Finance",Controller,Senior Level,Master's degree,Female,USD 94000,USD 4700,USD 98700,Junior,United States,Madison,White
2856,2021,Biotech / Research,Principal Research Associate,Experienced Level,Master's degree,Male,USD 100000,USD 10000,USD 110000,Mid Life,United States,Boston,White
2857,2021,"Accounting, Banking & Finance",Director ,Senior Level,Master's degree,Female,USD 200000,USD 55000,USD 255000,Junior,United States,Dallas,White
2858,2021,Health care,Staff Therapist,Senior Level,Master's degree,Female,USD 55300,USD 0,USD 55300,Junior,United States,New Orleans,Asian or Asian American
2860,2021,Recruitment or HR,HR Manager,Experienced Level,Master's degree,Female,USD 70000,USD 7700,USD 77700,Mid Life,United States,Milwaukee,White
2863,2021,Health care,Project Manager,Veteran Level,PhD,Female,USD 95000,USD 5000,USD 100000,Junior,Australia,Los Angeles Metro,White
2864,2021,Computing or Tech,trade spend analyst,Experienced Level,College degree,Female,USD 52000,USD 4000,USD 56000,Experienced,Australia,Seattle,White
2865,2021,Health care,Recovery Worker,Legendary Level,Master's degree,Female,GBP 18642,GBP 100,GBP 18742,Junior,United Kingdom,"Birmingham, England",White
2866,2021,Media & Digital,SEO Specialist ,Experienced Level,College degree,Female,ZAR 543000,ZAR 20000,ZAR 563000,Mid Life,South Africa,Cape Town,Other or Prefer not to answer
2867,2021,Education (Higher Education),Legal Assistant - Office of General Counsel,Senior Level,Master's degree,Female,USD 71000,USD 0,USD 71000,Experienced,United States,New York City,White
2868,2021,Education (Higher Education),Systems Librarian,Senior Level,Master's degree,Female,USD 76000,USD 0,USD 76000,Junior,United States,New York,White
2869,2021,Education (Higher Education),Scheduling Supervisor,Senior Level,Master's degree,Female,USD 35000,USD 0,USD 35000,Junior,United States,Bloomington,White
2871,2021,Computing or Tech,Senior Product Manager,Veteran Level,College degree,Female,USD 160000,USD 25000,USD 185000,Experienced,United States,"Boston, MA",White
2872,2021,Computing or Tech,Marketing Analyst/Project Manager,Junior Level,College degree,Female,USD 105000,USD 0,USD 105000,Mid Life,United States,New York,White
2873,2021,Govt contractor - not direct govt but they pay my company who in turn pays me,FSO,Senior Level,College degree,Female,USD 100000,USD 0,USD 100000,Junior,United States,Tysons,White
2874,2021,Computing or Tech,Technical writer,Senior Level,College degree,Female,USD 54000,USD 0,USD 54000,Junior,United States,Lehi,White
2875,2021,"Accounting, Banking & Finance",internal communications senior associate,Experienced Level,College degree,Female,USD 110000,USD 10000,USD 120000,Mid Life,United States,New York,White
2876,2021,"Marketing, Advertising & PR",Director of Communications,Senior Level,College degree,Female,USD 120000,USD 10000,USD 130000,Junior,United States,San Diego,White
2877,2021,Nonprofits,Director ,Senior Level,College degree,Female,USD 172000,USD 1000,USD 173000,Junior,Australia,Boston,Multiracial
2878,2021,Health care,Medical Laboratory Scientist ,Senior Level,College degree,Other,USD 62000,USD 0,USD 62000,Junior,Australia,Saginaw,Other or Prefer not to answer
2880,2021,Health care,Senior Radiographer,Senior Level,Master's degree,Non Binary,GBP 44780,GBP 0,GBP 44780,Experienced,United Kingdom,London,Multiracial
2881,2021,Law,Compensation & Benefits Manager,Veteran Level,College degree,Female,USD 112000,USD 1000,USD 113000,Experienced,United States,Nashville,White
2883,2021,Education (Higher Education),"Assistant Director, Marketing & Communications",Experienced Level,Master's degree,Female,USD 58000,USD 0,USD 58000,Mid Life,United States,New Orleans,White
2884,2021,Education (Primary/Secondary),Secondary English Teacher,Veteran Level,Master's degree,Female,USD 61734,USD 4105,USD 65839,Experienced,United States,Williamsburg,Other or Prefer not to answer
2885,2021,Art & Design,Graphic Designer,Senior Level,Master's degree,Female,USD 60000,USD 0,USD 60000,Junior,United States,Kent,White
2886,2021,Law,"Manager, Attorney Development",Veteran Level,"Professional degree (MD, JD, etc.)",Female,USD 155000,USD 15000,USD 170000,Junior,United States,New York,White
2890,2021,Nonprofits,"Manager, Meetings & Technology",Legendary Level,College degree,Female,USD 60000,USD 0,USD 60000,Junior,United States,Atlanta,White
2891,2021,"Accounting, Banking & Finance",Tax Preparer Self-employed ,Senior Level,College degree,Female,USD 65000,USD 0,USD 65000,Junior,United States,NYC,White
2892,2021,Business or Consulting,Business Technology Analyst,Junior Level,Master's degree,Female,CAD 65000,CAD 500,CAD 65500,Mid Life,Canada,Ottawa,White
2893,2021,Engineering or Manufacturing,Process Manager,Experienced Level,College degree,Female,USD 92500,USD 4000,USD 96500,Mid Life,United States,"Peabody, MA",White
2894,2021,Engineering or Manufacturing,Technical Specialist,Expert Level,College degree,Female,USD 149500,USD 8000,USD 157500,Experienced,United States,Northville,White
2895,2021,Computing or Tech,Sr Executive Administrator,Senior Level,College degree,Female,USD 70700,USD 4400,USD 75100,Mid Life,United States,Denver,White
2898,2021,"Accounting, Banking & Finance",Assistant Branch Manager,Senior Level,College degree,Female,USD 43875,USD 1500,USD 45375,Junior,Australia,Worcester area,White
2900,2021,Gaming,Channel Marketing Specialist,Junior Level,College degree,Female,USD 68500,USD 4000,USD 72500,Mid Life,United States,Austin,White
2901,2021,Nonprofits,research director,Veteran Level,PhD,Other,USD 83500,USD 0,USD 83500,Experienced,United States,Northampton,White
2903,2021,"Accounting, Banking & Finance",Consultant,Veteran Level,College degree,Female,USD 64000,USD 10000,USD 74000,Experienced,United States,Sioux Falls,White
2904,2021,"Accounting, Banking & Finance",Corporate Actions Analyst,Junior Level,"Professional degree (MD, JD, etc.)",Female,USD 70000,USD 0,USD 70000,Mid Life,United States,Chicago,White
2905,2021,Art & Design,"Associate Director, Production Design",Senior Level,College degree,Female,USD 57000,USD 0,USD 57000,Junior,Australia,Greensboro,White
2906,2021,Education (Primary/Secondary),Special Education Teacher,Senior Level,Master's degree,Female,USD 72000,USD 0,USD 72000,Senior,United States,philadelphia,Multiracial
2907,2021,"Marketing, Advertising & PR",Account Supervisor,Experienced Level,College degree,Female,USD 72500,USD 0,USD 72500,Mid Life,United States,Fayetteville,White
2908,2021,Education (Higher Education),Adjunct Professor,Senior Level,Master's degree,Female,USD 30000,USD 0,USD 30000,Junior,United States,Chicago,White
2910,2021,Education (Higher Education),"Director, Health Sciences Library",Veteran Level,Master's degree,Female,USD 110000,USD 0,USD 110000,Experienced,United States,Tucson,White
2911,2021,Computing or Tech,VP Legal,Expert Level,"Professional degree (MD, JD, etc.)",Female,USD 240000,USD 60000,USD 300000,Senior,United States,Lexington,White
2912,2021,Nonprofits,Director of Finance and Administration,Veteran Level,Master's degree,Other,USD 100000,USD 0,USD 100000,Experienced,United States,New York,Other or Prefer not to answer
2913,2021,Computing or Tech,Senior Product Manager,Senior Level,College degree,Female,USD 159120,USD 12000,USD 171120,Mid Life,United States,Atlanta,White
2915,2021,Health care,Pharmacy Reimbursement Analyst,Veteran Level,Master's degree,Female,USD 51979,USD 44,USD 52023,Junior,United States,Minneapolis,White
2918,2021,Government and Public Administration,Assistant,Veteran Level,Some college,Female,EUR 30000,EUR 0,EUR 30000,Experienced,France,Paris,White
2922,2021,Government and Public Administration,Unemployment Benefits Specialist,Legendary Level,College degree,Female,USD 42827,USD 0,USD 42827,Mid Life,United States,Milwaukee,White
2923,2021,Business or Consulting,Senior Consultant,Veteran Level,PhD,Female,USD 92000,USD 8500,USD 100500,Experienced,United States,Charleston,White
2924,2021,Computing or Tech,DevOps Analyst,Junior Level,College degree,Female,USD 63000,USD 0,USD 63000,Mid Life,United States,Boston,White
2925,2021,Education (Higher Education),Development Officer,Legendary Level,College degree,Female,USD 73500,USD 0,USD 73500,Mid Life,United States,Tacoma,White
2926,2021,Insurance,Underwriter,Senior Level,College degree,Female,USD 108000,USD 0,USD 108000,Junior,United States,San Francisco,White
2927,2021,Education (Higher Education),Research Administrator,Senior Level,Master's degree,Female,USD 60000,USD 0,USD 60000,Junior,Australia,Durham,White
2928,2021,Nonprofits,Vice President of Programs,Senior Level,Master's degree,Female,USD 73000,USD 0,USD 73000,Junior,United States,Rockford,White
2929,2021,Nonprofits,Senior Data Manager,Senior Level,College degree,Female,USD 110000,USD 0,USD 110000,Mid Life,United States,New York,White
2930,2021,"Accounting, Banking & Finance",Senior Fraud Investigations Officer ,Senior Level,Some college,Male,USD 86000,USD 2000,USD 88000,Junior,United States,Metro Detroit ,White
2931,2021,Nonprofits,Supervisor,Senior Level,Master's degree,Female,USD 60000,USD 0,USD 60000,Junior,United States,Los Angeles,Multiracial
2932,2021,"Marketing, Advertising & PR",Creative Copywriter,Senior Level,College degree,Female,USD 70000,USD 2100,USD 72100,Junior,United States,Downers Grove,White
2933,2021,Education (Higher Education),Research and Teaching Librarian,Senior Level,Master's degree,Female,USD 76000,USD 0,USD 76000,Junior,United States,Rockville,White
2935,2021,"Marketing, Advertising & PR",Project Manager ,Senior Level,College degree,Female,USD 72100,USD 1500,USD 73600,Junior,United States,Denver,White
2936,2021,"Marketing, Advertising & PR",Content and Project Specialist,Junior Level,College degree,Female,USD 38000,USD 1000,USD 39000,Mid Life,United States,Fairfield,White
2937,2021,Insurance,Human Resources Sr. Manager,Senior Level,College degree,Female,USD 126000,USD 24000,USD 150000,Junior,United States,Chicago,White
2938,2021,Education (Higher Education),Director of Marketing,Senior Level,College degree,Female,USD 167000,USD 25000,USD 192000,Junior,United States,Chicago,White
2940,2021,Insurance,Claims Supervisor,Veteran Level,College degree,Female,USD 82000,USD 8200,USD 90200,Junior,United States,Indianapolis,White
2942,2021,Commercial real estate tenancy,Office Administrator/Tenant Coordinator,Legendary Level,College degree,Female,CAD 43187,CAD 500,CAD 43687,Mid Life,Canada,Edmonton,White
2944,2021,Education (Higher Education),Research assistant,Senior Level,College degree,Non Binary,CAD 49000,CAD 0,CAD 49000,Mid Life,Canada,Saskatoon,White
2945,2021,Health care,Practice Administrator,Senior Level,College degree,Female,USD 62400,USD 12000,USD 74400,Junior,United States,Seattle,White
2946,2021,Book Publishing,Editor,Junior Level,Master's degree,Female,USD 39600,USD 0,USD 39600,Mid Life,United States,Salem,White
2947,2021,Law,Sr. In house counsel,Legendary Level,"Professional degree (MD, JD, etc.)",Female,CAD 129000,CAD 20000,CAD 149000,Mid Life,Canada,Toronto,White
2948,2021,Computing or Tech,Director of Trust and Safety,Veteran Level,Some college,Female,USD 116000,USD 20000,USD 136000,Experienced,United States,An exact answer would out me,White
2949,2021,Government and Public Administration,Business Librarian,Legendary Level,Master's degree,Female,USD 43560,USD 0,USD 43560,Junior,United States,Charleston,White
2950,2021,Transport or Logistics,Director of Risk Management,Veteran Level,College degree,Female,USD 144000,USD 30000,USD 174000,Experienced,Australia,Miami,White
2952,2021,Health care,Senior Administrative Assistant,Senior Level,Some college,Female,USD 60000,USD 0,USD 60000,Junior,United States,Milwaukee,White
2953,2021,Education (Higher Education),Assistant Director of Admission,Legendary Level,Master's degree,Female,USD 50000,USD 0,USD 50000,Mid Life,United States,Pittsburgh,Multiracial
2954,2021,Engineering or Manufacturing,Technical Writer,Senior Level,Master's degree,Female,USD 80000,USD 0,USD 80000,Junior,United States,Harrisburg,White
2955,2021,Translation/transcription,Transcription Coordinator,Senior Level,College degree,Male,USD 38000,USD 0,USD 38000,Mid Life,United States,Houston,White
2956,2021,Law,Paralegal ,Legendary Level,College degree,Female,USD 48000,USD 0,USD 48000,Mid Life,Australia,Portland ,White
2957,2021,"Marketing, Advertising & PR",Communications Coordinator,Experienced Level,College degree,Female,CAD 45000,CAD 2000,CAD 47000,Mid Life,Canada,Toronto,White
2958,2021,Education (Primary/Secondary),Literature Teacher,Senior Level,Master's degree,Male,USD 96000,USD 6000,USD 102000,Junior,United States,New York City,White
2961,2021,Entertainment,Librarian,Veteran Level,Master's degree,Female,USD 105000,USD 0,USD 105000,Experienced,Australia,Los Angeles,White
2963,2021,Computing or Tech,Tech Lead,Veteran Level,PhD,Male,USD 88000,USD 0,USD 88000,Experienced,United States,Madison,White
2965,2021,Government and Public Administration,Research,Senior Level,PhD,Female,USD 125000,USD 0,USD 125000,Junior,Australia,Washington DC,Asian or Asian American
2967,2021,"Leisure, Sport & Tourism",Director New Partnerships,Veteran Level,College degree,Female,USD 165000,USD 20000,USD 185000,Senior,United States,New York City,White
2969,2021,Pharmaceuticals R&D,Investigator,Senior Level,Master's degree,Female,USD 106000,USD 15000,USD 121000,Junior,United States,Collegeville,Asian or Asian American
2970,2021,Computing or Tech,Implementation Specialist,Veteran Level,College degree,Female,USD 91000,USD 8500,USD 99500,Experienced,United States,Mankato,White
2971,2021,Property or Construction,Systems Admin,Senior Level,Some college,Female,CAD 70000,CAD 2000,CAD 72000,Junior,Canada,Toronto,White
2972,2021,Transport or Logistics,Shipping specialist,Senior Level,High School,Female,USD 39666,USD 800,USD 40466,Junior,United States,Prescott,White
2973,2021,Health care,Marketing Manager,Veteran Level,Master's degree,Female,USD 77250,USD 0,USD 77250,Experienced,Australia,Denver,White
2978,2021,Engineering or Manufacturing,Engineering Proposal Coordinator ,Senior Level,College degree,Female,USD 152169,USD 7000,USD 159169,Junior,United States,Stratford,White
2979,2021,Media & Digital,Producer,Experienced Level,College degree,Female,USD 86720,USD 0,USD 86720,Mid Life,United States,New York City,White
2984,2021,"Accounting, Banking & Finance",Compensation manager,Senior Level,Master's degree,Female,USD 180000,USD 45000,USD 225000,Junior,United States,San Francisco,White
2985,2021,Social Work,Senior Program Associate,Junior Level,Master's degree,Female,USD 62000,USD 0,USD 62000,Mid Life,United States,Washington,White
2986,2021,Nonprofits,Benefits Manager,Veteran Level,Master's degree,Female,USD 105000,USD 5000,USD 110000,Experienced,United States,"Washington, DC",White
2987,2021,Computing or Tech,Database Administrator,Veteran Level,Master's degree,Female,USD 104000,USD 10000,USD 114000,Experienced,United States,Seattle,Other or Prefer not to answer
2992,2021,Computing or Tech,Head of Engineering,Senior Level,College degree,Male,CAD 175000,CAD 0,CAD 175000,Junior,Canada,"Toronto, for a global remote company",White
2994,2021,Law,Public Defender Investigator,Senior Level,College degree,Female,USD 92500,USD 0,USD 92500,Junior,United States,Santa Cruz,White
2996,2021,Education (Higher Education),Professor (full),Expert Level,PhD,Male,USD 160000,USD 0,USD 160000,Senior,United States,Anonymous,Asian or Asian American
2997,2021,"Marketing, Advertising & PR",Digital Marketing Manager,Senior Level,Some college,Female,USD 85000,USD 0,USD 85000,Mid Life,United States,San Diego,White
2998,2021,Education (Higher Education),Professor,Veteran Level,PhD,Male,USD 160000,USD 0,USD 160000,Experienced,United States,Louisville,White
2999,2021,"Accounting, Banking & Finance",Budget Analyst,Legendary Level,College degree,Female,USD 79600,USD 1000,USD 80600,Mid Life,United States,Dayton,White
3001,2021,Business or Consulting,Senior Consultant,Senior Level,Master's degree,Female,GBP 41000,GBP 4000,GBP 45000,Junior,United Kingdom,Oxford,White
3002,2021,Law Enforcement & Security,JUVENILE CASE MANAGEMENT SPECIALIST,Veteran Level,Master's degree,Female,USD 50000,USD 0,USD 50000,Experienced,United States,NAPLES,White
3003,2021,Engineering or Manufacturing,Quality Control Assistant ,Veteran Level,College degree,Female,USD 70000,USD 12000,USD 82000,Junior,United States,Middletown ,White
3005,2021,Media & Digital,Lead Analyst,Senior Level,Master's degree,Female,USD 98300,USD 9830,USD 108130,Junior,United States,Twin Cities metro area,White
3006,2021,Retail,Consumer Relations Representative,Veteran Level,College degree,Female,USD 26000,USD 0,USD 26000,Junior,United States,Detroit metro ,White
3007,2021,Law,Assistant General Counsel,Veteran Level,"Professional degree (MD, JD, etc.)",Female,USD 300000,USD 60000,USD 360000,Experienced,United States,Boston,White
3009,2021,Sales,Realtor,Experienced Level,College degree,Male,CAD 600000,CAD 0,CAD 600000,Mid Life,Canada,Toronto,White
3010,2021,librarian--Contractor for NASA,Senior Librarian,Expert Level,Master's degree,Female,USD 63000,USD 1000,USD 64000,Senior,United States,Huntsville,White
3011,2021,Insurance,underwriting case manager,Veteran Level,Master's degree,Female,USD 52000,USD 1000,USD 53000,Senior,Australia,Reston,White
3012,2021,Health care,Investigator I,Senior Level,College degree,Female,USD 58000,USD 2900,USD 60900,Experienced,United States,Pittsburgh,White
3013,2021,Environmental sciences,Specialist,Legendary Level,Some college,Female,USD 42000,USD 3500,USD 45500,Mid Life,United States,Billings ,White
3014,2021,Health care,Billing Supervisor,Senior Level,Some college,Male,USD 74000,USD 2500,USD 76500,Junior,United States,Philadelphia,White
3016,2021,Government and Public Administration,Research Analyst,Entry Level,College degree,Female,CAD 70000,CAD 0,CAD 70000,Young,Canada,Ottawa,Multiracial
3020,2021,Utilities & Telecommunications,Salesforce Developer,Legendary Level,Master's degree,Male,USD 85000,USD 10000,USD 95000,Junior,United States,San Francisco,White
3021,2021,Engineering or Manufacturing,Environmental Scientist,Experienced Level,Master's degree,Female,USD 77000,USD 5000,USD 82000,Mid Life,United States,Montpelier,White
3022,2021,Health care,Instructional Designer,Veteran Level,Master's degree,Female,USD 88000,USD 2000,USD 90000,Senior,United States,Columbus,White
3023,2021,"Marketing, Advertising & PR",Director of Web Development,Experienced Level,College degree,Female,USD 65000,USD 5000,USD 70000,Mid Life,United States,Bethlehem,White
3025,2021,Government and Public Administration,Deputy Director,Senior Level,College degree,Female,USD 135000,USD 0,USD 135000,Junior,United States,San Diego,White
3026,2021,Health care,Manager,Senior Level,College degree,Female,USD 78346,USD 11000,USD 89346,Junior,United States,Minneapolis,White
3027,2021,Government contractor,Technical writer/editor,Veteran Level,Master's degree,Female,USD 62000,USD 0,USD 62000,Experienced,United States,Atlantic City,White
3028,2021,Government and Public Administration,Compliance Officer,Entry Level,"Professional degree (MD, JD, etc.)",Female,USD 58000,USD 0,USD 58000,Mid Life,United States,Richmond,Asian or Asian American
3031,2021,Education (Higher Education),"Director, Career Services",Experienced Level,Master's degree,Female,USD 55000,USD 0,USD 55000,Junior,United States,Indianapolis,White
3032,2021,"Accounting, Banking & Finance",Digital Channel Manager,Experienced Level,College degree,Female,USD 74000,USD 1000,USD 75000,Mid Life,United States,Williamsburg ,White
3033,2021,Health care,Registered Nurse,Veteran Level,"Professional degree (MD, JD, etc.)",Female,CAD 90000,CAD 10000,CAD 100000,Junior,Canada,VICTORIA ,White
3034,2021,Health care,Project Manager II,Senior Level,College degree,Female,USD 86000,USD 0,USD 86000,Junior,United States,Indianapolis,White
3039,2021,"Accounting, Banking & Finance",Analyst,Senior Level,College degree,Female,USD 75000,USD 5000,USD 80000,Junior,United States,Weehawken,Black or African American
3040,2021,"Accounting, Banking & Finance",Staff Accountant II,Junior Level,Master's degree,Female,USD 73000,USD 15000,USD 88000,Mid Life,United States,San Diego,Multiracial
3041,2021,Computing or Tech,Software Engineer ,Senior Level,Master's degree,Male,USD 162000,USD 225000,USD 387000,Junior,United States,Pittsburgh,White
3042,2021,State DOT,Survey tech,Veteran Level,Some college,Male,USD 45000,USD 7000,USD 52000,Experienced,United States,"Cheyenne, Wy",White
3044,2021,"Marketing, Advertising & PR",product photographer,Veteran Level,College degree,Male,USD 60000,USD 3000,USD 63000,Experienced,United States,Minneapolis,White
3045,2021,"Marketing, Advertising & PR",Public Relations Manager,Senior Level,College degree,Female,USD 72000,USD 2000,USD 74000,Junior,United States,Minneapolis ,White
3046,2021,Nonprofits,Assistant Director of Education ,Senior Level,Master's degree,Female,USD 55000,USD 0,USD 55000,Junior,United States,Chicago,White
3047,2021,Law,Attorney,Legendary Level,"Professional degree (MD, JD, etc.)",Female,USD 80000,USD 0,USD 80000,Mid Life,United States,New York,White
3048,2021,Government and Public Administration,Marketing Director,Veteran Level,Master's degree,Female,USD 130000,USD 0,USD 130000,Experienced,United States,Falls Church,White
3050,2021,"Marketing, Advertising & PR",Director,Senior Level,College degree,Female,USD 117000,USD 10000,USD 127000,Junior,United States,Niles,White
3051,2021,"Accounting, Banking & Finance",Administrative Analyst II,Experienced Level,College degree,Female,USD 124155,USD 0,USD 124155,Mid Life,United States,Concord,White
3052,2021,Government and Public Administration,Training Manager,Senior Level,Some college,Female,USD 82000,USD 0,USD 82000,Junior,United Kingdom,Cambridge,Other or Prefer not to answer
3053,2021,Analytical Chemistry,Chemist IV,Expert Level,College degree,Female,USD 56000,USD 0,USD 56000,Senior,United States,Oklahoma City,White
3054,2021,Health care,Research Manager,Senior Level,Master's degree,Male,USD 93000,USD 0,USD 93000,Junior,United States,Denver,White
3058,2021,Insurance,Software Developer,Senior Level,Some college,Male,USD 120000,USD 10000,USD 130000,Junior,United States,Milwaukee,White
3059,2021,Nonprofits,Senior Manager,Experienced Level,Master's degree,Female,USD 94000,USD 10000,USD 104000,Mid Life,United States,Seattle,White
3061,2021,Engineering or Manufacturing,Process Integration Engineering ,Junior Level,Master's degree,Female,USD 92000,USD 18000,USD 110000,Mid Life,United States,Dallas,White
3062,2021,Education (Higher Education),Development Coordinator,Legendary Level,College degree,Female,USD 60000,USD 1000,USD 61000,Mid Life,United States,New York City,White
3064,2021,Education (Higher Education),"Producer (Marketing, Video production) ",Senior Level,Master's degree,Female,USD 55800,USD 0,USD 55800,Junior,United States,Fort Wayne,White
3066,2021,Law,Associate Attorney,Senior Level,"Professional degree (MD, JD, etc.)",Female,USD 110000,USD 4000,USD 114000,Junior,United States,Walnut Creek,White
3067,2021,Computing or Tech,Sr Software Engineer,Senior Level,College degree,Female,USD 160000,USD 140000,USD 300000,Mid Life,United States,Pittsburgh ,White
3068,2021,Business or Consulting,Principal Product Designer,Senior Level,College degree,Female,USD 155000,USD 5000,USD 160000,Junior,United States,Los Angeles,Multiracial
3069,2021,Education (Higher Education),IT Analyst,Veteran Level,College degree,Female,USD 86800,USD 0,USD 86800,Experienced,United States,Durham,White
3070,2021,Public Library,Senior Library Assisstant,Veteran Level,Some college,Non Binary,USD 28000,USD 0,USD 28000,Experienced,United States,Colorado Springs,White
3071,2021,Executive Search,Executive Search Associate/Consultant,Experienced Level,College degree,Female,USD 90000,USD 2500,USD 92500,Junior,United States,Remote,Black or African American
3072,2021,"Accounting, Banking & Finance",Administrative Assistant,Experienced Level,College degree,Female,USD 90000,USD 60000,USD 150000,Mid Life,United States,New York,White
3073,2021,Hospitality & Events,Kitchen Manager,Veteran Level,Some college,Male,USD 50000,USD 5000,USD 55000,Junior,United States,Pittsburgh,White
3074,2021,Health care,Senior Health Educator,Experienced Level,PhD,Female,USD 93000,USD 3500,USD 96500,Junior,United States,"Portland, OR (remote for a company in CA)",White
3075,2021,Computing or Tech,Engineering Manager,Legendary Level,College degree,Female,USD 140000,USD 100000,USD 240000,Mid Life,United States,Concord,White
3078,2021,Nonprofits,Program Coordinator,Experienced Level,College degree,Female,USD 42000,USD 0,USD 42000,Mid Life,United States,Dayton,White
3079,2021,Education (Higher Education),Program Administrator,Veteran Level,College degree,Male,USD 71000,USD 0,USD 71000,Experienced,United States,Cambridge,White
3082,2021,Education (Primary/Secondary),Educational Support Professional ,Expert Level,College degree,Female,USD 22000,USD 0,USD 22000,Retired,Australia,Northampton ,Multiracial
3083,2021,Engineering or Manufacturing,Senior Facility Manager,Senior Level,College degree,Female,USD 139000,USD 14000,USD 153000,Junior,United States,Florence,White
3084,2021,Business or Consulting,Senior Learning Consultant and Instructional Designer  ,Junior Level,College degree,Female,USD 64100,USD 2000,USD 66100,Mid Life,United States,Cincinnati,White
3085,2021,Insurance,Customer Service Coach,Legendary Level,College degree,Female,USD 58697,USD 3560,USD 62257,Mid Life,Australia,South Bend,White
3086,2021,Education (Higher Education),Associate Professor,Senior Level,PhD,Female,USD 70000,USD 2000,USD 72000,Junior,United States,Northfield,White
3087,2021,Government and Public Administration,State Railroad Program Manager ,Senior Level,Master's degree,Female,USD 70000,USD 0,USD 70000,Mid Life,United States,Phoenix,White
3088,2021,Government and Public Administration,Business Analyst,Veteran Level,College degree,Female,GBP 45000,GBP 0,GBP 45000,Experienced,United Kingdom,Exeter,White
3090,2021,Education (Higher Education),Communications and Marketing Manager,Senior Level,College degree,Female,CAD 93000,CAD 0,CAD 93000,Junior,Canada,Toronto,White
3091,2021,Transport or Logistics,Operations Manager,Senior Level,Master's degree,Female,USD 135000,USD 0,USD 135000,Mid Life,United States,Remote,White
3092,2021,Government and Public Administration,Head of strategy ,Senior Level,PhD,Female,GBP 50000,GBP 0,GBP 50000,Junior,United Kingdom,Bristol,White
3093,2021,Nonprofits,Chief People Officer,Senior Level,Master's degree,Female,USD 148000,USD 5000,USD 153000,Junior,United States,Manchester,White
3094,2021,Engineering or Manufacturing,Human Resources Administrator,Senior Level,College degree,Female,USD 55000,USD 0,USD 55000,Mid Life,United States,Charleston,White
3095,2021,Health care,Pediatrician,Experienced Level,"Professional degree (MD, JD, etc.)",Female,USD 160000,USD 0,USD 160000,Junior,United States,New York,White
3096,2021,Government and Public Administration,Manager,Experienced Level,Master's degree,Female,USD 144000,USD 3000,USD 147000,Mid Life,United States,Washington,White
3098,2021,"Accounting, Banking & Finance",Paraprofessional,Junior Level,Master's degree,Female,USD 42000,USD 5000,USD 47000,Mid Life,United States,Queensbury,White
3099,2021,Computing or Tech,Lead Game Designer,Senior Level,Some college,Female,USD 78500,USD 1000,USD 79500,Mid Life,United States,Cary,White
3100,2021,Education (Higher Education),Public Relations Specialist,Legendary Level,College degree,Female,USD 44500,USD 0,USD 44500,Mid Life,United States,Topeka,White
3101,2021,Computing or Tech,Cybersecurity Analyst,Veteran Level,Some college,Female,USD 120000,USD 0,USD 120000,Junior,United States,Stafford,White
3103,2021,Business or Consulting,Associate,Junior Level,Master's degree,Female,USD 60000,USD 1000,USD 61000,Mid Life,United States,District of Columbia,White
3104,2021,Education (Higher Education),Professor (full),Veteran Level,PhD,Female,USD 80000,USD 10000,USD 90000,Experienced,Australia,Arnold,White
3105,2021,Engineering or Manufacturing,Process Controls Engineer,Junior Level,College degree,Female,USD 75000,USD 3000,USD 78000,Mid Life,United States,Sabetha ,White
3107,2021,"Marketing, Advertising & PR",Senior Art Director,Senior Level,College degree,Female,USD 100000,USD 0,USD 100000,Junior,United States,New York City,White
3108,2021,Recruitment or HR,"Vice President, Human Resources",Senior Level,"Professional degree (MD, JD, etc.)",Female,USD 145000,USD 10000,USD 155000,Junior,United States,New York,White
